Bus,  3-Phase,  1-Phase,  L-L
SOURCEBUS   ,       3000,       2501,       2599
1           ,       7328,       7516,       6368
2           ,       7322,       7510,       6363
3           ,       7086,       7172,       6158
4           ,       6864,       6861,       5966
5           ,       6654,       6574,       5784
6           ,       6456,       6308,       5612
7           ,       6268,       6060,       5450
8           ,       6091,       5831,       5296
9           ,       5922,       5616,       5150
10          ,       5762,       5416,       5011
11          ,       5610,       5229,       4880
12          ,       5465,       5054,       4754
13          ,       5328,       4890,       4635
14          ,       5197,       4736,       4521
15          ,       5071,       4590,       4412
16          ,       4952,       4453,       4308
17          ,       4838,       4324,       4209
18          ,       4728,       4201,       4114
19          ,       4624,       4086,       4023
20          ,       4523,       3976,       3935
21          ,       4427,       3872,       3852
22          ,       4335,       3773,       3771
23          ,       4246,       3679,       3694
24          ,       4161,       3589,       3620
25          ,       4079,       3504,       3549
26          ,       4000,       3422,       3480
27          ,       3924,       3344,       3414
28          ,       3851,       3270,       3350
29          ,       3781,       3198,       3289
30          ,       3713,       3130,       3229
31          ,       3647,       3064,       3172
32          ,       3583,       3001,       3116
33          ,       3522,       2941,       3062
34          ,       3462,       2882,       3010
35          ,       3404,       2825,       2960
36          ,       3349,       2771,       2911
37          ,       3294,       2718,       2864
38          ,       3242,       2668,       2818
39          ,       3191,       2619,       2774
40          ,       3142,       2572,       2731
41          ,       3094,       2527,       2689
42          ,       3047,       2483,       2648
43          ,       3002,       2441,       2609
44          ,       2958,       2400,       2571
45          ,       2916,       2360,       2534
46          ,       2875,       2322,       2497
47          ,       2834,       2284,       2462
48          ,       2795,       2248,       2428
49          ,       2757,       2213,       2394
50          ,       2720,       2179,       2362
51          ,       2684,       2146,       2330
