Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
LOAD1,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD2,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD3,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD4,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD5,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD6,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD7,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD8,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD9,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD10,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD11,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD12,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD13,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD14,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
LOAD15,      0.0, 0.500, 1,      6.6,      0.0, 1.000, 1
