Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.TR1, 1054.074, 5278.563, 1054.074, 5278.563, 0, 0
Reactor.R1, 678.7406, 1936.407, 678.7406, 1936.407, 0, 0
Line.LINE1, 190.0474, 136.0143, 190.0474, 136.0143, 0, 0
Line.LINE2, 190.0474, 136.0143, 190.0474, 136.0143, 0, 0
Line.LINE3, 190.0474, 136.0143, 190.0474, 136.0143, 0, 0
Line.LINE4, 122.2252, 87.4749, 122.2252, 87.4749, 0, 0
Line.LINE5, 122.2252, 87.4749, 122.2252, 87.4749, 0, 0
Line.LINE6, 122.2252, 87.4749, 122.2252, 87.4749, 0, 0
Line.LINE7, 122.2252, 87.4749, 122.2252, 87.4749, 0, 0
Line.LINE8, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE9, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE10, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE11, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE12, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE13, 69.0307, 49.40432, 69.0307, 49.40432, 0, 0
Line.LINE14, 30.71597, 21.983, 30.71597, 21.983, 0, 0
Line.LINE15, 30.71597, 21.983, 30.71597, 21.983, 0, 0
Line.LINE16, 7.68197, 5.49788, 7.68197, 5.49788, 0, 0
Line.LINE17, 5.790264E-024, 1.654361E-024, 5.790264E-024, 1.654361E-024, 0, 0
Line.LINE18, 2.067952E-024, 4.135903E-025, 2.067952E-024, 4.135903E-025, 0, 0
Line.LINE19, 4.135903E-025, 4.135903E-025, 4.135903E-025, 4.135903E-025, 0, 0
Line.LINE20, 1.240771E-024, 4.135903E-025, 1.240771E-024, 4.135903E-025, 0, 0
