Bus,  NumNodes, R1, X1, R0, X0, Z1, Z0, "X1/R1", "X0/R0"
"SOURCEBUS", 3,   0.385817,     1.5399,   0.503067,     1.5092,     1.5875,    1.59084,    3.991,        3
"1", 3,  0.0220689,  0.0239198,  0.0215468,  0.0219336,  0.0325452,  0.0307465,    1.084,    1.018
"2", 3,  0.0220793,  0.0239485,  0.0215572,  0.0219622,  0.0325734,  0.0307742,    1.085,    1.019
"3", 3,  0.0271062,  0.0260818,  0.0340069,  0.0246092,  0.0376166,  0.0419771,   0.9622,   0.7237
"4", 3,  0.0321224,  0.0282037,  0.0463795,  0.0272208,  0.0427469,  0.0537776,    0.878,   0.5869
"5", 3,  0.0371371,  0.0303329,  0.0587233,   0.029839,  0.0479505,  0.0658695,   0.8168,   0.5081
"6", 3,  0.0421546,  0.0324746,  0.0710684,  0.0324792,  0.0532129,  0.0781384,   0.7704,    0.457
"7", 3,   0.047165,  0.0346088,   0.083362,  0.0350956,  0.0585005,  0.0904484,   0.7338,    0.421
"8", 3,  0.0521682,  0.0367353,  0.0956042,  0.0376882,  0.0638044,   0.102765,   0.7042,   0.3942
"9", 3,  0.0571803,  0.0388799,   0.107892,  0.0403212,  0.0691465,    0.11518,     0.68,   0.3737
"10", 3,  0.0622063,  0.0410487,    0.12026,   0.043012,  0.0745293,    0.12772,   0.6599,   0.3577
"11", 3,  0.0672693,  0.0432752,   0.132856,  0.0458485,  0.0799869,   0.140545,   0.6433,   0.3451
