Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 11, 1,     6341.2,   -0.3,   0.99848, 2,    6338.22, -120.3,   0.99801, 3,    6342.54,  119.7,   0.99869
"1", 0.415, 1,    239.157,  -30.3,   0.99815, 2,    238.973, -150.3,   0.99738, 3,    239.063,   89.7,   0.99776
"2", 0.415, 1,    229.823,  -32.5,   0.95919, 2,    228.301, -152.8,   0.95284, 3,    230.851,   87.8,   0.96348
"3", 0.415, 1,    229.591,  -32.5,   0.95823, 2,    228.014, -152.8,   0.95164, 3,    230.667,   87.8,   0.96272
"4", 0.415, 1,    229.374,  -32.5,   0.95732, 2,    227.724, -152.9,   0.95043, 3,    230.482,   87.7,   0.96194
"5", 0.415, 1,    229.156,  -32.6,   0.95641, 2,    227.435, -152.9,   0.94923, 3,    230.297,   87.7,   0.96117
"6", 0.415, 1,    228.938,  -32.6,    0.9555, 2,    227.146, -152.9,   0.94802, 3,    230.111,   87.7,    0.9604
"7", 0.415, 1,    228.717,  -32.6,   0.95458, 2,    226.875, -153.0,   0.94689, 3,    229.923,   87.7,   0.95961
"8", 0.415, 1,    228.496,  -32.6,   0.95365, 2,    226.604, -153.0,   0.94576, 3,    229.739,   87.6,   0.95884
"9", 0.415, 1,    228.274,  -32.6,   0.95273, 2,    226.334, -153.0,   0.94463, 3,    229.555,   87.6,   0.95807
"10", 0.415, 1,    228.049,  -32.6,   0.95179, 2,    226.071, -153.0,   0.94353, 3,    229.378,   87.6,   0.95734
"11", 0.415, 1,    227.825,  -32.7,   0.95085, 2,    225.808, -153.1,   0.94244, 3,    229.202,   87.6,    0.9566
"12", 0.415, 1,      227.6,  -32.7,   0.94992, 2,    225.546, -153.1,   0.94134, 3,    229.026,   87.6,   0.95587
"13", 0.415, 1,    227.376,  -32.7,   0.94898, 2,    225.283, -153.1,   0.94025, 3,     228.85,   87.5,   0.95513
"14", 0.415, 1,    227.151,  -32.7,   0.94804, 2,    225.021, -153.2,   0.93915, 3,    228.674,   87.5,    0.9544
"15", 0.415, 1,    226.924,  -32.7,   0.94709, 2,    224.756, -153.2,   0.93805, 3,    228.512,   87.5,   0.95372
"16", 0.415, 1,    226.698,  -32.8,   0.94615, 2,    224.488, -153.2,   0.93693, 3,    228.368,   87.5,   0.95312
"17", 0.415, 1,    226.486,  -32.8,   0.94527, 2,    224.218, -153.3,    0.9358, 3,    228.222,   87.4,   0.95251
"18", 0.415, 1,    226.274,  -32.8,   0.94438, 2,    223.948, -153.3,   0.93467, 3,    228.077,   87.4,    0.9519
"19", 0.415, 1,    226.071,  -32.8,   0.94353, 2,    223.675, -153.3,   0.93354, 3,     227.93,   87.4,   0.95129
"20", 0.415, 1,    225.866,  -32.8,   0.94268, 2,    223.418, -153.3,   0.93246, 3,     227.78,   87.4,   0.95067
"21", 0.415, 1,    225.662,  -32.8,   0.94183, 2,     223.16, -153.4,   0.93138, 3,     227.63,   87.4,   0.95004
"22", 0.415, 1,    225.455,  -32.8,   0.94096, 2,    222.916, -153.4,   0.93037, 3,    227.478,   87.3,   0.94941
"23", 0.415, 1,    225.262,  -32.9,   0.94016, 2,     222.67, -153.4,   0.92934, 3,    227.324,   87.3,   0.94876
"24", 0.415, 1,    225.069,  -32.9,   0.93935, 2,    222.424, -153.5,   0.92831, 3,     227.17,   87.3,   0.94812
"25", 0.415, 1,    224.877,  -32.9,   0.93855, 2,    222.178, -153.5,   0.92728, 3,    227.016,   87.3,   0.94748
"26", 0.415, 1,    224.693,  -32.9,   0.93778, 2,     221.93, -153.5,   0.92625, 3,    226.861,   87.2,   0.94683
"27", 0.415, 1,    224.507,  -32.9,   0.93701, 2,    221.701, -153.5,   0.92529, 3,    226.702,   87.2,   0.94617
"28", 0.415, 1,    224.328,  -32.9,   0.93626, 2,    221.489, -153.6,   0.92441, 3,    226.538,   87.2,   0.94548
"29", 0.415, 1,    224.148,  -33.0,   0.93551, 2,    221.277, -153.6,   0.92352, 3,    226.374,   87.2,    0.9448
"30", 0.415, 1,    223.967,  -33.0,   0.93475, 2,    221.074, -153.6,   0.92268, 3,    226.209,   87.2,   0.94411
"31", 0.415, 1,    223.786,  -33.0,     0.934, 2,    220.872, -153.6,   0.92183, 3,    226.044,   87.1,   0.94342
"32", 0.415, 1,    223.606,  -33.0,   0.93324, 2,     220.67, -153.7,   0.92099, 3,    225.879,   87.1,   0.94273
"33", 0.415, 1,    223.423,  -33.0,   0.93248, 2,    220.481, -153.7,    0.9202, 3,    225.711,   87.1,   0.94203
"34", 0.415, 1,    223.243,  -33.0,   0.93173, 2,    220.301, -153.7,   0.91945, 3,    225.541,   87.1,   0.94132
"35", 0.415, 1,    223.068,  -33.1,     0.931, 2,     220.12, -153.7,    0.9187, 3,     225.37,   87.1,   0.94061
"36", 0.415, 1,    222.891,  -33.1,   0.93026, 2,    219.958, -153.7,   0.91802, 3,    225.195,   87.0,   0.93988
"37", 0.415, 1,    222.727,  -33.1,   0.92958, 2,    219.794, -153.7,   0.91733, 3,    225.019,   87.0,   0.93914
"38", 0.415, 1,     222.56,  -33.1,   0.92888, 2,    219.632, -153.8,   0.91666, 3,    224.856,   87.0,   0.93846
"39", 0.415, 1,    222.389,  -33.1,   0.92817, 2,    219.467, -153.8,   0.91597, 3,    224.716,   87.0,   0.93788
"40", 0.415, 1,    222.214,  -33.2,   0.92744, 2,    219.325, -153.8,   0.91538, 3,    224.572,   87.0,   0.93728
"41", 0.415, 1,    222.042,  -33.2,   0.92672, 2,    219.197, -153.8,   0.91485, 3,    224.425,   87.0,   0.93666
