Freq, Harmonic, V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
50, 1.00000, 224.935, -34.1353, 0, 0, 29.3412, -34.1325, 29.3412, 145.867
100, 2.00000, 0.0137909, -21.8131, 0, 0, 0.0120498, 77.7993, 0.0120498, -102.201
150, 3.00000, 0.860733, 7.71155, 0, 0, 0.516132, 106.115, 0.516132, -73.885
200, 4.00000, 0.0205539, -153.287, 0, 0, 0.00903733, -55.1042, 0.00903733, 124.896
250, 5.00000, 1.08345, -59.0035, 0, 0, 0.381576, 39.2995, 0.381576, -140.701
300, 6.00000, 0.0200143, 5.18517, 0, 0, 0.00602489, 103.882, 0.00602489, -76.1183
350, 7.00000, 0.43041, 96.9476, 0, 0, 0.108448, -163.878, 0.108448, 16.1219
400, 8.00000, 0.0118696, -44.1167, 0, 0, 0.00301244, 56.0892, 0.00301244, -123.911
450, 9.00000, 0.53187, -171.375, 0, 0, 0.12351, -70.5038, 0.12351, 109.496
500, 10.00000, 0.0148161, 118.15, 0, 0, 0.00301244, -140.353, 0.00301244, 39.6475
550, 11.00000, 0.640554, 82.3964, 0, 0, 0.118489, -175.456, 0.118489, 4.54379
650, 13.00000, 0.800682, 1.03467, 0, 0, 0.125518, 104.626, 0.125518, -75.3745
750, 15.00000, 0.208012, -102.585, 0, 0, 0.0291203, 2.56109, 0.0291203, -177.439
850, 17.00000, 0.41731, -70.5718, 0, 0, 0.0502074, 36.0711, 0.0502074, -143.929
950, 19.00000, 0.437513, -146.216, 0, 0, 0.0471949, -37.9653, 0.0471949, 142.035
1050, 21.00000, 0.469017, 54.8875, 0, 0, 0.0471949, 164.774, 0.0471949, -15.2262
1150, 23.00000, 0.583161, 41.5403, 0, 0, 0.0522157, 153.023, 0.0522157, -26.9766
1250, 25.00000, 0.279607, -110.785, 0, 0, 0.0230954, 2.34632, 0.0230954, -177.654
1350, 27.00000, 0.789031, -133.197, 0, 0, 0.0622572, -18.3721, 0.0622572, 161.628
1450, 29.00000, 0.812971, -166.331, 0, 0, 0.0582406, -49.8557, 0.0582406, 130.144
1550, 31.00000, 0.612264, 141.689, 0, 0, 0.0411701, -100.144, 0.0411701, 79.8557
1650, 33.00000, 0.585146, 15.1847, 0, 0, 0.0381576, 135.062, 0.0381576, -44.9381
1750, 35.00000, 0.585778, -115.795, 0, 0, 0.0351452, 5.76988, 0.0351452, -174.23
1850, 37.00000, 0.211467, -171.3, 0, 0, 0.0120498, -48.0111, 0.0120498, 131.989
1950, 39.00000, 0.413565, -160.189, 0, 0, 0.0230954, -35.1579, 0.0230954, 144.842
2050, 41.00000, 0.561413, 107.145, 0, 0, 0.0291203, -126.104, 0.0291203, 53.8955
2150, 43.00000, 0.52544, 12.3345, 0, 0, 0.0261078, 140.837, 0.0261078, -39.1633
2250, 45.00000, 0.3069, -87.1459, 0, 0, 0.0150622, 43.1269, 0.0150622, -136.873
2350, 47.00000, 0.262446, 137.233, 0, 0, 0.0120498, -90.7467, 0.0120498, 89.2533
2450, 49.00000, 0.204127, 116.533, 0, 0, 0.00903733, -109.679, 0.00903733, 70.3211
