Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 231.136, -32.0551, 204.006, -152.488, 194.434, 84.18, 9.27506E-012, -101.31, 3.27923E-011, -176.82, 3.63798E-012, 0
100, 2.00000, 0.00531943, -26.5969, 0.0441187, 53.8076, 0.0122527, 117.958, 2.77556E-016, -126.87, 6.49741E-016, 160.017, 0, 0
150, 3.00000, 1.01853, -88.0573, 1.63338, -94.3178, 1.87453, -73.1134, 8.55607E-014, -131.634, 8.28628E-014, 59.0362, 6.35529E-014, 116.565
200, 4.00000, 0.0180633, -174.951, 0.0598105, 91.5187, 0.0456993, -68.8585, 7.1089E-016, 128.66, 2.28878E-015, 140.906, 8.88178E-016, -90
250, 5.00000, 0.693451, 78.8687, 0.0422104, 173.429, 1.00798, -66.2876, 3.26096E-014, -29.3578, 8.88178E-015, -143.13, 3.17764E-014, 116.565
300, 6.00000, 0.0363959, 155.117, 0.124692, 175.999, 0.0269311, 161.589, 2.88658E-015, 112.62, 2.00148E-015, -3.17983, 5.55112E-016, -53.1301
350, 7.00000, 0.876788, -139.863, 0.875697, 107.071, 1.44701, -42.9379, 7.18492E-014, -8.53077, 3.17764E-014, -116.565, 3.55271E-014, 0
400, 8.00000, 0.0372235, 1.08546, 0.0876964, 82.9238, 0.0308413, -144.457, 4.96507E-016, 153.435, 1.19575E-015, -68.1986, 1.83103E-015, -75.9638
450, 9.00000, 0.607026, -125.059, 1.09123, -133.31, 1.34026, -126.349, 1.46482E-014, -75.9638, 1.00486E-014, 45, 2.86429E-014, 172.875
500, 10.00000, 0.00982637, 147.2, 0.0431466, -120.405, 0.0110388, -146.263, 3.89568E-016, 85.9144, 8.08255E-016, 15.9454, 4.00297E-016, 123.69
550, 11.00000, 0.465004, 108.463, 0.81267, 172.646, 1.01014, -51.6068, 1.43214E-014, -172.875, 1.59872E-014, 90, 1.42109E-014, 90
650, 13.00000, 0.292171, 111.05, 0.819411, -148.626, 0.369925, 108.013, 8.88178E-016, -90, 1.42178E-014, 178.21, 3.55271E-015, 90
750, 15.00000, 0.0667545, 64.3905, 0.348555, 175.097, 0.153386, -20.6073, 2.70129E-015, -99.4623, 4.80356E-015, -123.69, 1.77636E-015, 90
850, 17.00000, 0.486645, 30.0073, 0.544571, 102.516, 0.507842, -166.588, 5.40258E-015, -80.5377, 2.66454E-015, 180, 3.55271E-015, 90
950, 19.00000, 0.199312, -142.079, 0.449734, -156.764, 0.391059, -32.9195, 2.22045E-015, -36.8699, 2.22045E-015, -36.8699, 3.7943E-015, 69.444
1050, 21.00000, 0.0549393, -107.358, 0.142411, 11.3467, 0.307043, 110.841, 2.84356E-015, -51.3402, 9.93014E-016, -26.5651, 2.51215E-015, 135
1150, 23.00000, 0.378441, 139.852, 0.231389, -128.282, 0.501257, -81.9524, 3.97205E-015, 116.565, 1.77636E-015, -90, 5.61733E-015, 108.435
1250, 25.00000, 0.172377, -17.8096, 0.194912, -131.928, 0.261574, 46.6816, 1.25607E-015, -135, 8.88178E-016, 0, 8.88178E-016, -90
1350, 27.00000, 0.0616338, -142.502, 0.220958, -2.70459, 0.770475, -127.451, 1.77636E-015, 0, 3.55271E-015, -90, 6.04027E-015, 53.9726
1450, 29.00000, 0.641679, -149.413, 0.503537, -72.7953, 0.517025, 33.2591, 7.53644E-015, 135, 5.95808E-015, 63.4349, 2.51215E-015, 45
1550, 31.00000, 0.241419, 161.82, 1.30348, 35.6203, 0.766958, -145.986, 1.42109E-014, -90, 3.55271E-015, 90, 3.55271E-015, -90
1650, 33.00000, 0.242164, 111.2, 0.698594, -120.155, 0.0149149, 124.133, 2.21632E-015, 162.132, 4.00297E-015, -176.82, 3.19129E-015, 76.9307
1750, 35.00000, 1.09688, -31.182, 0.568107, 50.4358, 0.398173, 110.834, 4.21885E-015, 90, 1.33227E-015, -90, 7.32411E-015, 165.964
1850, 37.00000, 0.37975, -155.148, 0.573966, 26.7575, 0.470858, -144.02, 3.46845E-015, 50.1944, 1.25607E-015, 45, 1.98603E-015, 26.5651
1950, 39.00000, 0.280687, 178.178, 0.148222, -47.0859, 0.288227, 47.2015, 1.55431E-015, 0, 4.44089E-016, 180, 1.33689E-015, -131.634
2050, 41.00000, 0.473064, 62.0143, 0.269948, 42.6002, 0.234408, -114.192, 9.41008E-015, 19.29, 1.40433E-015, 161.565, 3.1792E-015, 12.0948
2150, 43.00000, 0.171734, -10.5571, 0.532385, -149.675, 0.282805, -17.9069, 9.93014E-016, 153.435, 0, 0, 8.88178E-016, 90
2250, 45.00000, 0.323057, -65.9997, 0.04766, -55.1531, 0.459675, 127.697, 3.58036E-015, -7.12502, 9.15513E-016, -165.964, 6.16948E-015, -120.256
2350, 47.00000, 0.883813, 176.752, 0.133315, -173.652, 0.272524, -69.124, 4.93019E-015, 7.76517, 4.44089E-015, 90, 4.96507E-015, -26.5651
2450, 49.00000, 0.128859, -176.853, 0.721701, -28.9973, 0.308082, 75.2948, 2.22045E-015, -53.1301, 1.83103E-015, 104.036, 1.98603E-015, -116.565
